CUDA_VISIBLE_DEVICES=0 python breakout.py -r 25 -o Ostap
Using TensorFlow backend.
2018-10-24 22:30:11.788911: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
2018-10-24 22:30:11.859568: I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:964] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
2018-10-24 22:30:11.860009: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1411] Found device 0 with properties: 
name: GeForce GTX 980 major: 5 minor: 2 memoryClockRate(GHz): 1.2785
pciBusID: 0000:01:00.0
totalMemory: 3.94GiB freeMemory: 3.26GiB
2018-10-24 22:30:11.860043: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1490] Adding visible gpu devices: 0
2018-10-24 22:30:12.091320: I tensorflow/core/common_runtime/gpu/gpu_device.cc:971] Device interconnect StreamExecutor with strength 1 edge matrix:
2018-10-24 22:30:12.091363: I tensorflow/core/common_runtime/gpu/gpu_device.cc:977]      0 
2018-10-24 22:30:12.091372: I tensorflow/core/common_runtime/gpu/gpu_device.cc:990] 0:   N 
2018-10-24 22:30:12.091512: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1103] Created TensorFlow device (/job:localhost/replica:0/task:0/device:GPU:0 with 2978 MB memory) -> physical GPU (device: 0, name: GeForce GTX 980, pci bus id: 0000:01:00.0, compute capability: 5.2)
Episode: 0/4000000, score: 3.0, epsilon:1.0
Episode: 1/4000000, score: 1.0, epsilon:1.0
Episode: 2/4000000, score: 0.0, epsilon:1.0
Episode: 3/4000000, score: 0.0, epsilon:1.0
Episode: 4/4000000, score: 1.0, epsilon:1.0
Episode: 5/4000000, score: 1.0, epsilon:1.0
Episode: 6/4000000, score: 3.0, epsilon:1.0
Episode: 7/4000000, score: 0.0, epsilon:1.0
Episode: 8/4000000, score: 1.0, epsilon:1.0
Episode: 9/4000000, score: 5.0, epsilon:1.0
Episode: 10/4000000, score: 0.0, epsilon:1.0
Episode: 11/4000000, score: 1.0, epsilon:1.0
Episode: 12/4000000, score: 2.0, epsilon:1.0
Episode: 13/4000000, score: 1.0, epsilon:1.0
Episode: 14/4000000, score: 1.0, epsilon:1.0
Episode: 15/4000000, score: 2.0, epsilon:1.0
Episode: 16/4000000, score: 1.0, epsilon:1.0
Episode: 17/4000000, score: 0.0, epsilon:1.0
Episode: 18/4000000, score: 1.0, epsilon:1.0
Episode: 19/4000000, score: 0.0, epsilon:1.0
