,Episode,Score,Epsilon
0,0,0.0,1.0
1,1,4.0,1.0
2,2,3.0,1.0
3,3,2.0,1.0
4,4,0.0,1.0
5,5,2.0,1.0
6,6,0.0,1.0
7,7,3.0,1.0
8,8,1.0,1.0
9,9,4.0,1.0
10,10,1.0,1.0
11,11,0.0,1.0
12,12,2.0,1.0
13,13,0.0,1.0
14,14,0.0,1.0
15,15,0.0,1.0
16,16,1.0,1.0
17,17,1.0,1.0
18,18,1.0,1.0
19,19,2.0,1.0
20,20,0.0,1.0
21,21,2.0,1.0
22,22,2.0,1.0
23,23,1.0,1.0
24,24,1.0,1.0
25,25,0.0,1.0
26,26,0.0,1.0
27,27,1.0,1.0
28,28,3.0,1.0
29,29,1.0,1.0
30,30,1.0,1.0
31,31,0.0,1.0
32,32,2.0,1.0
33,33,2.0,1.0
34,34,1.0,1.0
35,35,0.0,1.0
36,36,2.0,1.0
37,37,1.0,1.0
38,38,3.0,1.0
39,39,0.0,1.0
40,40,1.0,1.0
41,41,5.0,1.0
42,42,0.0,1.0
43,43,4.0,1.0
44,44,1.0,1.0
45,45,0.0,1.0
46,46,3.0,1.0
47,47,1.0,1.0
48,48,3.0,1.0
49,49,2.0,1.0
50,50,1.0,1.0
51,51,2.0,1.0
52,52,1.0,1.0
53,53,2.0,1.0
54,54,0.0,1.0
55,55,0.0,1.0
56,56,0.0,1.0
57,57,1.0,1.0
58,58,1.0,1.0
59,59,1.0,1.0
60,60,0.0,1.0
61,61,4.0,1.0
62,62,0.0,1.0
63,63,0.0,1.0
64,64,0.0,1.0
65,65,1.0,1.0
66,66,1.0,1.0
67,67,0.0,1.0
68,68,2.0,1.0
69,69,1.0,1.0
70,70,2.0,1.0
71,71,0.0,1.0
72,72,2.0,1.0
73,73,2.0,1.0
74,74,1.0,1.0
75,75,2.0,1.0
76,76,3.0,1.0
77,77,1.0,1.0
78,78,0.0,1.0
79,79,6.0,1.0
80,80,2.0,1.0
81,81,1.0,1.0
82,82,0.0,1.0
83,83,2.0,1.0
84,84,0.0,1.0
85,85,0.0,1.0
86,86,2.0,1.0
87,87,0.0,1.0
