,Episode,Score,Epsilon
0,0,1.0,1.0
1,1,4.0,1.0
2,2,2.0,1.0
3,3,1.0,1.0
4,4,2.0,1.0
5,5,1.0,1.0
6,6,1.0,1.0
7,7,0.0,1.0
8,8,1.0,1.0
9,9,1.0,1.0
10,10,2.0,1.0
11,11,0.0,1.0
12,12,3.0,1.0
13,13,0.0,1.0
14,14,4.0,1.0
15,15,1.0,1.0
16,16,3.0,1.0
17,17,2.0,1.0
18,18,1.0,1.0
19,19,3.0,1.0
20,20,0.0,1.0
21,21,4.0,1.0
22,22,0.0,1.0
23,23,0.0,1.0
24,24,3.0,1.0
25,25,2.0,1.0
26,26,0.0,1.0
27,27,1.0,1.0
28,28,2.0,1.0
29,29,1.0,1.0
30,30,0.0,1.0
31,31,2.0,1.0
32,32,2.0,1.0
33,33,2.0,1.0
34,34,1.0,1.0
35,35,2.0,1.0
36,36,0.0,1.0
37,37,1.0,1.0
38,38,2.0,1.0
39,39,0.0,1.0
40,40,2.0,1.0
41,41,0.0,1.0
42,42,4.0,1.0
43,43,2.0,1.0
44,44,2.0,1.0
45,45,0.0,1.0
46,46,1.0,1.0
47,47,0.0,1.0
48,48,0.0,1.0
49,49,1.0,1.0
50,50,0.0,1.0
51,51,2.0,1.0
52,52,3.0,1.0
53,53,2.0,1.0
54,54,1.0,1.0
55,55,1.0,1.0
56,56,0.0,1.0
57,57,2.0,1.0
58,58,2.0,1.0
59,59,0.0,1.0
60,60,1.0,1.0
61,61,1.0,1.0
62,62,0.0,1.0
63,63,0.0,1.0
64,64,2.0,1.0
65,65,3.0,1.0
66,66,1.0,1.0
67,67,3.0,1.0
68,68,1.0,1.0
69,69,0.0,1.0
70,70,0.0,1.0
71,71,0.0,1.0
72,72,0.0,1.0
73,73,1.0,1.0
74,74,0.0,1.0
75,75,2.0,1.0
76,76,1.0,1.0
77,77,0.0,1.0
78,78,1.0,1.0
79,79,0.0,1.0
80,80,1.0,1.0
81,81,3.0,1.0
82,82,0.0,1.0
83,83,0.0,1.0
84,84,2.0,1.0
85,85,0.0,1.0
86,86,1.0,1.0
87,87,0.0,1.0
88,88,5.0,1.0
89,89,2.0,1.0
90,90,1.0,1.0
91,91,1.0,1.0
92,92,2.0,1.0
93,93,3.0,1.0
94,94,1.0,1.0
95,95,3.0,1.0
96,96,0.0,1.0
97,97,1.0,1.0
98,98,2.0,1.0
99,99,2.0,1.0
100,100,2.0,1.0
101,101,2.0,1.0
102,102,3.0,1.0
103,103,2.0,1.0
104,104,2.0,1.0
105,105,2.0,1.0
106,106,0.0,1.0
107,107,1.0,1.0
108,108,1.0,1.0
109,109,0.0,1.0
110,110,0.0,1.0
111,111,5.0,1.0
112,112,0.0,1.0
113,113,1.0,1.0
114,114,0.0,1.0
115,115,1.0,1.0
116,116,3.0,1.0
117,117,1.0,1.0
118,118,2.0,1.0
119,119,0.0,1.0
120,120,1.0,1.0
121,121,1.0,1.0
122,122,2.0,1.0
123,123,2.0,1.0
124,124,0.0,1.0
125,125,0.0,1.0
